id,nama,email,usia,pendapatan,kota
203,Pelanggan-203,user202@mail.com,63,8214169,Yogyakarta
204,Pelanggan-204,user203@mail.com,15,6475650,Bandung
205,Pelanggan-205,user204@mail.com,78,4999378,Yogyakarta
206,Pelanggan-206,user205@mail.com,42,2636381,Bandung
207,Pelanggan-207,user206@mail.com,58,5320119,Bali
208,Pelanggan-208,user207@mail.com,62,4643974,Bali
209,Pelanggan-209,user208@mail.com,26,-1,Bandung
210,Pelanggan-210,user209invalid,32,5075862,Bali
211,Pelanggan-211,user210@mail.com,59,7238239,Yogyakarta
212,Pelanggan-212,user211@mail.com,65,-1,Yogyakarta
213,Pelanggan-213,user212@mail.com,19,6240554,Bali
214,Pelanggan-214,user213@mail.com,45,4481316,Jakarta
215,Pelanggan-215,user214@mail.com,59,6533997,Jakarta
216,Pelanggan-216,user215@mail.com,73,9546210,Yogyakarta
217,Pelanggan-217,user216@mail.com,16,4326816,Bandung
218,Pelanggan-218,user217@mail.com,70,1548219,Jakarta
219,Pelanggan-219,user218@mail.com,49,6391759,Yogyakarta
220,Pelanggan-220,user219@mail.com,58,-1,Bali
221,Pelanggan-221,user220@mail.com,39,5640616,Bali
222,Pelanggan-222,user221@mail.com,30,8487718,Bandung
223,Pelanggan-223,user222@mail.com,72,2869375,Surabaya
224,Pelanggan-224,user223@mail.com,55,6615400,Yogyakarta
225,Pelanggan-225,user224@mail.com,58,-1,Bali
226,Pelanggan-226,user225invalid,34,-1,Surabaya
227,Pelanggan-227,user226@mail.com,73,-1,Yogyakarta
228,Pelanggan-228,user227@mail.com,46,7045922,Bandung
229,Pelanggan-229,user228@mail.com,78,6200108,Jakarta
230,Pelanggan-230,user229invalid,53,4132865,Surabaya
231,Pelanggan-231,user230@mail.com,29,2763402,Surabaya
232,Pelanggan-232,user231invalid,32,4937173,Surabaya
233,Pelanggan-233,user232@mail.com,43,2355053,Jakarta
234,Pelanggan-234,user233@mail.com,15,9878828,Jakarta
235,Pelanggan-235,user234@mail.com,59,8311546,Jakarta
236,Pelanggan-236,user235invalid,48,-1,Bali
237,Pelanggan-237,user236@mail.com,35,5962574,Bandung
238,Pelanggan-238,user237@mail.com,62,5074607,Bali
239,Pelanggan-239,user238@mail.com,47,5041935,Jakarta
240,Pelanggan-240,user239@mail.com,71,8124502,Yogyakarta
241,Pelanggan-241,user240invalid,54,2803820,Bandung
242,Pelanggan-242,user241@mail.com,29,3841739,Bali
243,Pelanggan-243,user242@mail.com,44,-1,Surabaya
244,Pelanggan-244,user243@mail.com,58,765992,Bandung
245,Pelanggan-245,user244invalid,69,-561674,Bandung
246,Pelanggan-246,user245@mail.com,31,-1,Bandung
247,Pelanggan-247,user246@mail.com,53,5806806,Bali
248,Pelanggan-248,user247@mail.com,62,2601978,Surabaya
249,Pelanggan-249,user248@mail.com,17,5957285,Surabaya
250,Pelanggan-250,user249@mail.com,51,6636180,Bali
251,Pelanggan-251,user250@mail.com,31,9447594,Bandung
252,Pelanggan-252,user251@mail.com,79,5071594,Surabaya
253,Pelanggan-253,user252@mail.com,39,5074923,Bali
254,Pelanggan-254,user253@mail.com,30,5251233,Surabaya
255,Pelanggan-255,user254@mail.com,69,4035000,Bandung
256,Pelanggan-256,user255@mail.com,73,3717984,Bali
257,Pelanggan-257,user256@mail.com,46,3321803,Bali
258,Pelanggan-258,user257@mail.com,77,-1,Bali
259,Pelanggan-259,user258invalid,66,2895442,Yogyakarta
260,Pelanggan-260,user259@mail.com,39,5647189,Surabaya
261,Pelanggan-261,user260@mail.com,27,2047201,Surabaya
262,Pelanggan-262,user261invalid,42,6141262,Jakarta
263,Pelanggan-263,user262@mail.com,74,6351007,Surabaya
264,Pelanggan-264,user263@mail.com,22,4178979,Bali
265,Pelanggan-265,user264@mail.com,45,4110592,Bali
266,Pelanggan-266,user265@mail.com,76,-1,Bali
267,Pelanggan-267,user266@mail.com,48,5700018,Bali
268,Pelanggan-268,user267@mail.com,56,-1,Jakarta
269,Pelanggan-269,user268@mail.com,51,-1,Surabaya
270,Pelanggan-270,user269@mail.com,45,3848520,Surabaya
271,Pelanggan-271,user270@mail.com,47,3172279,Yogyakarta
272,Pelanggan-272,user271@mail.com,57,-1,Surabaya
273,Pelanggan-273,user272invalid,37,5896857,Yogyakarta
274,Pelanggan-274,user273@mail.com,59,1241049,Bandung
275,Pelanggan-275,user274@mail.com,55,2764465,Bali
276,Pelanggan-276,user275@mail.com,32,3791126,Surabaya
277,Pelanggan-277,user276@mail.com,28,3292110,Yogyakarta
278,Pelanggan-278,user277@mail.com,30,6151696,Surabaya
279,Pelanggan-279,user278@mail.com,38,6537471,Surabaya
280,Pelanggan-280,user279invalid,27,7691538,Bandung
281,Pelanggan-281,user280@mail.com,53,3247346,Surabaya
282,Pelanggan-282,user281invalid,35,2149578,Bandung
283,Pelanggan-283,user282@mail.com,75,7665601,Bandung
284,Pelanggan-284,user283@mail.com,33,6977850,Bali
285,Pelanggan-285,user284invalid,42,5825339,Bandung
286,Pelanggan-286,user285@mail.com,22,3734986,Yogyakarta
287,Pelanggan-287,user286@mail.com,29,5753378,Yogyakarta
288,Pelanggan-288,user287@mail.com,32,3537696,Bandung
289,Pelanggan-289,user288@mail.com,34,-1,Jakarta
290,Pelanggan-290,user289@mail.com,59,6571818,Bandung
291,Pelanggan-291,user290@mail.com,73,7877247,Jakarta
292,Pelanggan-292,user291@mail.com,40,4223693,Surabaya
293,Pelanggan-293,user292@mail.com,52,-1,Jakarta
294,Pelanggan-294,user293@mail.com,20,9083378,Yogyakarta
295,Pelanggan-295,user294@mail.com,17,2866774,Yogyakarta
296,Pelanggan-296,user295@mail.com,35,-1,Bandung
297,Pelanggan-297,user296@mail.com,63,4847719,Jakarta
298,Pelanggan-298,user297@mail.com,36,4630834,Bandung
299,Pelanggan-299,user298@mail.com,59,6400189,Bandung
300,Pelanggan-300,user299@mail.com,44,1294867,Bandung
301,Pelanggan-301,user300invalid,46,1995774,Bandung
302,Pelanggan-302,user301@mail.com,16,-1,Yogyakarta
303,Pelanggan-303,user302invalid,62,-1,Surabaya
304,Pelanggan-304,user303invalid,53,6722704,Yogyakarta
305,Pelanggan-305,user304@mail.com,44,3159366,Yogyakarta
306,Pelanggan-306,user305@mail.com,46,4399259,Yogyakarta
307,Pelanggan-307,user306@mail.com,41,-1,Bali
308,Pelanggan-308,user307@mail.com,26,8435002,Bandung
309,Pelanggan-309,user308@mail.com,60,7611494,Bandung
310,Pelanggan-310,user309@mail.com,74,3649331,Bali
311,Pelanggan-311,user310@mail.com,64,-1,Surabaya
312,Pelanggan-312,user311@mail.com,54,-1,Yogyakarta
313,Pelanggan-313,user312@mail.com,24,5502150,Jakarta
314,Pelanggan-314,user313@mail.com,60,2842206,Bandung
315,Pelanggan-315,user314@mail.com,17,3872661,Jakarta
316,Pelanggan-316,user315@mail.com,64,8095846,Yogyakarta
317,Pelanggan-317,user316@mail.com,53,5345866,Jakarta
318,Pelanggan-318,user317@mail.com,58,1811127,Bandung
319,Pelanggan-319,user318@mail.com,68,-1,Yogyakarta
320,Pelanggan-320,user319@mail.com,71,5969506,Bandung
321,Pelanggan-321,user320invalid,52,6236107,Yogyakarta
322,Pelanggan-322,user321@mail.com,44,-1,Yogyakarta
323,Pelanggan-323,user322@mail.com,35,5538002,Surabaya
324,Pelanggan-324,user323@mail.com,72,2206481,Yogyakarta
325,Pelanggan-325,user324invalid,27,6647792,Surabaya
326,Pelanggan-326,user325@mail.com,67,5988468,Yogyakarta
327,Pelanggan-327,user326@mail.com,48,3110221,Bandung
328,Pelanggan-328,user327@mail.com,73,1839880,Bali
329,Pelanggan-329,user328invalid,72,5215659,Yogyakarta
330,Pelanggan-330,user329@mail.com,52,7027917,Surabaya
331,Pelanggan-331,user330@mail.com,26,7654969,Bandung
332,Pelanggan-332,user331@mail.com,70,-1,Yogyakarta
333,Pelanggan-333,user332@mail.com,28,7264751,Bali
334,Pelanggan-334,user333@mail.com,33,3943660,Yogyakarta
335,Pelanggan-335,user334@mail.com,68,-888811,Bali
336,Pelanggan-336,user335@mail.com,42,4511603,Bandung
337,Pelanggan-337,user336@mail.com,15,6255650,Yogyakarta
338,Pelanggan-338,user337@mail.com,26,-1,Bali
339,Pelanggan-339,user338@mail.com,77,6301648,Jakarta
340,Pelanggan-340,user339@mail.com,75,-1,Yogyakarta
341,Pelanggan-341,user340@mail.com,17,5277002,Yogyakarta
342,Pelanggan-342,user341@mail.com,20,2811767,Bali
343,Pelanggan-343,user342@mail.com,15,2199723,Bali
344,Pelanggan-344,user343@mail.com,17,7254846,Bandung
345,Pelanggan-345,user344@mail.com,65,-1,Bali
346,Pelanggan-346,user345@mail.com,17,2942630,Jakarta
347,Pelanggan-347,user346@mail.com,23,-1,Jakarta
348,Pelanggan-348,user347@mail.com,32,3912729,Bandung
349,Pelanggan-349,user348@mail.com,40,3354427,Bandung
350,Pelanggan-350,user349@mail.com,36,1990087,Bali
351,Pelanggan-351,user350@mail.com,79,3851462,Bandung
352,Pelanggan-352,user351@mail.com,40,5362576,Jakarta
353,Pelanggan-353,user352@mail.com,76,1804671,Bali
354,Pelanggan-354,user353@mail.com,29,-1,Surabaya
355,Pelanggan-355,user354@mail.com,34,7505769,Jakarta
356,Pelanggan-356,user355@mail.com,62,5518317,Yogyakarta
357,Pelanggan-357,user356@mail.com,42,4233459,Jakarta
358,Pelanggan-358,user357invalid,71,7348756,Bandung
359,Pelanggan-359,user358@mail.com,51,3783649,Bali
360,Pelanggan-360,user359@mail.com,65,-1,Jakarta
361,Pelanggan-361,user360@mail.com,34,4309916,Yogyakarta
362,Pelanggan-362,user361@mail.com,21,2953808,Bandung
363,Pelanggan-363,user362@mail.com,65,8190997,Yogyakarta
364,Pelanggan-364,user363@mail.com,72,5577554,Bandung
365,Pelanggan-365,user364@mail.com,23,6599146,Yogyakarta
366,Pelanggan-366,user365@mail.com,47,6221674,Yogyakarta
367,Pelanggan-367,user366@mail.com,79,1849423,Surabaya
368,Pelanggan-368,user367@mail.com,22,4918739,Jakarta
369,Pelanggan-369,user368@mail.com,64,6914104,Yogyakarta
370,Pelanggan-370,user369@mail.com,62,-1,Jakarta
371,Pelanggan-371,user370@mail.com,77,4701721,Bali
372,Pelanggan-372,user371@mail.com,23,5710079,Yogyakarta
373,Pelanggan-373,user372@mail.com,24,4546773,Yogyakarta
374,Pelanggan-374,user373@mail.com,35,3009544,Bali
375,Pelanggan-375,user374@mail.com,34,3363449,Jakarta
376,Pelanggan-376,user375@mail.com,26,-1,Jakarta
377,Pelanggan-377,user376@mail.com,64,3690713,Jakarta
378,Pelanggan-378,user377@mail.com,20,3408247,Yogyakarta
379,Pelanggan-379,user378@mail.com,31,4246565,Bandung
380,Pelanggan-380,user379@mail.com,71,3963783,Surabaya
381,Pelanggan-381,user380@mail.com,65,5818691,Surabaya
382,Pelanggan-382,user381@mail.com,17,4641190,Surabaya
383,Pelanggan-383,user382@mail.com,62,5695199,Yogyakarta
384,Pelanggan-384,user383@mail.com,20,2814863,Bali
385,Pelanggan-385,user384@mail.com,19,-1,Yogyakarta
386,Pelanggan-386,user385@mail.com,30,-1,Surabaya
387,Pelanggan-387,user386@mail.com,67,5715272,Yogyakarta
388,Pelanggan-388,user387@mail.com,31,6692466,Jakarta
389,Pelanggan-389,user388@mail.com,53,2677256,Bali
390,Pelanggan-390,user389invalid,19,2346689,Bali
391,Pelanggan-391,user390invalid,39,3871130,Bandung
392,Pelanggan-392,user391@mail.com,35,4843007,Jakarta
393,Pelanggan-393,user392@mail.com,22,5183036,Surabaya
394,Pelanggan-394,user393@mail.com,60,6527450,Bandung
395,Pelanggan-395,user394@mail.com,48,3308301,Yogyakarta
396,Pelanggan-396,user395@mail.com,49,3500724,Bandung
397,Pelanggan-397,user396@mail.com,40,-1,Surabaya
398,Pelanggan-398,user397@mail.com,49,3021212,Surabaya
399,Pelanggan-399,user398@mail.com,67,5099342,Bali
400,Pelanggan-400,user399@mail.com,29,-1,Bali
401,Pelanggan-401,user400@mail.com,55,1504741,Jakarta
402,Pelanggan-402,user401@mail.com,23,6879963,Jakarta
403,Pelanggan-403,user402@mail.com,50,7842914,Bandung
404,Pelanggan-404,user403@mail.com,66,6974642,Jakarta
405,Pelanggan-405,user404@mail.com,72,899894,Bali
406,Pelanggan-406,user405invalid,24,5792950,Jakarta
407,Pelanggan-407,user406@mail.com,44,6415482,Jakarta
408,Pelanggan-408,user407@mail.com,72,3808578,Bali
409,Pelanggan-409,user408@mail.com,73,6384794,Jakarta
410,Pelanggan-410,user409invalid,45,3927568,Yogyakarta
411,Pelanggan-411,user410invalid,39,8569199,Bali
412,Pelanggan-412,user411@mail.com,53,3079741,Yogyakarta
413,Pelanggan-413,user412@mail.com,70,6711666,Bali
414,Pelanggan-414,user413@mail.com,44,4196417,Yogyakarta
415,Pelanggan-415,user414@mail.com,17,5755678,Bandung
416,Pelanggan-416,user415@mail.com,45,8869511,Bali
417,Pelanggan-417,user416@mail.com,60,7702201,Jakarta
418,Pelanggan-418,user417@mail.com,49,4558219,Surabaya
419,Pelanggan-419,user418@mail.com,27,7076943,Yogyakarta
420,Pelanggan-420,user419@mail.com,44,5768843,Bali
421,Pelanggan-421,user420@mail.com,25,5381432,Yogyakarta
422,Pelanggan-422,user421@mail.com,25,4366576,Bandung
423,Pelanggan-423,user422@mail.com,36,5057794,Yogyakarta
424,Pelanggan-424,user423@mail.com,45,3338455,Bandung
425,Pelanggan-425,user424@mail.com,45,4656687,Bandung
426,Pelanggan-426,user425@mail.com,17,6327985,Jakarta
427,Pelanggan-427,user426@mail.com,49,3978258,Yogyakarta
428,Pelanggan-428,user427@mail.com,74,6088283,Surabaya
429,Pelanggan-429,user428@mail.com,24,3426582,Bali
430,Pelanggan-430,user429@mail.com,41,3492234,Bandung
431,Pelanggan-431,user430@mail.com,26,1838798,Jakarta
432,Pelanggan-432,user431invalid,29,4990420,Yogyakarta
433,Pelanggan-433,user432@mail.com,40,4202263,Surabaya
434,Pelanggan-434,user433@mail.com,42,-1,Bandung
435,Pelanggan-435,user434@mail.com,27,5160828,Bali
436,Pelanggan-436,user435@mail.com,58,4348416,Yogyakarta
437,Pelanggan-437,user436@mail.com,52,5464073,Yogyakarta
438,Pelanggan-438,user437@mail.com,18,8001845,Yogyakarta
439,Pelanggan-439,user438@mail.com,61,5119886,Jakarta
440,Pelanggan-440,user439@mail.com,22,5654680,Bandung
441,Pelanggan-441,user440@mail.com,22,8250176,Bali
442,Pelanggan-442,user441@mail.com,73,4273702,Bali
443,Pelanggan-443,user442@mail.com,73,6074489,Surabaya
444,Pelanggan-444,user443@mail.com,31,5223851,Jakarta
445,Pelanggan-445,user444invalid,44,8673737,Jakarta
446,Pelanggan-446,user445@mail.com,65,3563193,Surabaya
447,Pelanggan-447,user446@mail.com,71,7269889,Bandung
448,Pelanggan-448,user447@mail.com,24,8099443,Jakarta
449,Pelanggan-449,user448@mail.com,48,4353731,Jakarta
450,Pelanggan-450,user449@mail.com,29,7331693,Surabaya
451,Pelanggan-451,user450invalid,39,4850872,Yogyakarta
452,Pelanggan-452,user451@mail.com,28,1772537,Yogyakarta
453,Pelanggan-453,user452@mail.com,39,3590559,Bali
454,Pelanggan-454,user453@mail.com,67,-1,Surabaya
455,Pelanggan-455,user454@mail.com,31,6694677,Yogyakarta
456,Pelanggan-456,user455@mail.com,62,8315308,Yogyakarta
457,Pelanggan-457,user456invalid,16,-1,Yogyakarta
458,Pelanggan-458,user457invalid,77,7922024,Jakarta
